Date,Price,Open,High,Low,Vol.,Change %
2/4/19,525.75,524.75,529,521.25,74.71K,0.29%
2/1/19,524.25,515.75,526.5,515.25,83.42K,1.50%
1/31/19,516.5,517.75,520,513.5,56.31K,-0.05%
1/30/19,516.75,513.25,518,511.75,46.57K,0.68%
1/29/19,513.25,517.75,522,510.75,77.73K,-1.06%
1/28/19,518.75,520.75,523.5,516,44.01K,-0.24%
1/25/19,520,520.5,523,516.75,51.10K,-0.29%
1/24/19,521.5,527,529,521,50.94K,-0.86%
1/23/19,526,522.5,527,521.75,45.10K,0.91%
1/22/19,521.25,518,526,514.25,75.78K,0.82%
1/21/19,517,517.5,520.5,515.25,-,0.00%
1/20/19,517,517.5,517.5,517,-,-0.14%
1/18/19,517.75,519.75,522.75,515.25,50.53K,0.00%
1/17/19,517.75,511.5,522.5,509,65.57K,1.02%
1/16/19,512.5,511,516.75,511,43.24K,0.29%
1/15/19,511,514.75,518.25,508,55.27K,-0.63%
1/14/19,514.25,520,523.5,513.25,49.12K,-1.01%
1/11/19,519.5,513.75,523.75,512.75,73.29K,1.12%
1/10/19,513.75,519.5,520.25,512,59.32K,-1.20%
1/9/19,520,519.75,523.75,518.25,57.34K,0.43%
1/8/19,517.75,516.5,524.5,513.75,71.73K,0.19%
1/7/19,516.75,518,518.5,513.5,41.55K,-0.05%
1/4/19,517,513.75,518.75,513,44.05K,0.63%
1/3/19,513.75,506.75,516,506,48.80K,1.38%
1/2/19,506.75,502.5,510.75,501.25,46.44K,0.70%
12/31/18,503.25,512.75,513.5,503,41.28K,-1.61%
12/28/18,511.5,511.75,514,509.5,25.16K,0.20%
12/27/18,510.5,511.5,513,507.25,32.66K,0.10%
12/26/18,510,516,520.75,509,32.52K,-1.26%
12/24/18,516.5,512,518,511,22.53K,0.49%
12/21/18,514,522,524,512.25,62.69K,-1.81%
12/20/18,523.5,524,527.75,521.25,45.09K,0.19%
12/19/18,522.5,532.75,533,521.5,49.71K,-1.92%
12/18/18,532.75,534,536,530,40.25K,-0.47%
12/17/18,535.25,531,537.5,530,37.08K,1.42%
12/14/18,527.75,536.38,537.62,527.75,0.02K,0.00%
12/13/18,527.75,526.25,526.25,526.25,0.04K,2.43%
12/12/18,515.25,520.75,520.75,517.75,0.01K,1.08%
12/11/18,509.75,511,511,511,0.01K,-0.97%
12/10/18,514.75,522.75,522.75,521.5,0.01K,-0.91%
12/7/18,519.5,505.25,519,505.25,0.06K,2.82%
12/6/18,505.25,510,510,499.5,0.52K,-1.80%
12/5/18,514.5,515,515.5,513.25,0.05K,-0.91%
12/4/18,519.25,514.75,520.75,514.75,0.33K,0.68%
12/3/18,515.75,524.25,525.25,514,2.39K,0.00%
11/30/18,515.75,497.25,517.75,497.25,2.39K,3.88%
11/29/18,496.5,497.75,501.5,492,16.13K,-0.20%
11/28/18,497.5,497.25,501,494.75,20.28K,-0.10%
11/27/18,498,506.75,510,497.5,27.09K,-1.87%
11/26/18,507.5,503,508,501.75,39.28K,1.55%
11/23/18,499.75,500.75,507.5,499,49.83K,0.35%
11/22/18,498,498,498,498,-,-0.15%
11/21/18,498.75,500.5,504.25,497.75,30.01K,-0.40%
11/20/18,500.75,497.5,502.5,495.5,39.18K,0.45%
11/19/18,498.5,506.5,507.25,496,51.16K,-1.63%
11/16/18,506.75,505.25,508.75,502.75,41.46K,0.25%
11/15/18,505.5,503,509,503,71.99K,0.50%
11/14/18,503,507.75,511,501,80.90K,-0.94%
11/13/18,507.75,518.25,520.75,506,104.44K,-2.31%
11/12/18,519.75,502.5,520.75,501.25,115.47K,3.54%
11/9/18,502,507.5,508,500.75,92.76K,-1.13%
11/8/18,507.75,509.5,517,503.25,110.06K,-0.49%
11/7/18,510.25,512.5,514.25,507.25,70.29K,-0.34%
11/6/18,512,507.25,514,505.5,51.33K,0.94%
11/5/18,507.25,511.25,512.25,503.75,54.25K,-0.29%
11/2/18,508.75,507,509.75,502.75,56.56K,0.15%
11/1/18,508,500.5,510,500.5,85.22K,1.50%
10/31/18,500.5,499.75,501.75,490,82.42K,0.15%
10/30/18,499.75,505.5,507.5,497,69.05K,-1.48%
10/29/18,507.25,510.25,515,502.75,66.04K,0.40%
10/26/18,505.25,487.25,506.75,486.75,143.20K,3.69%
10/25/18,487.25,499.75,499.75,485.5,84.39K,-2.45%
10/24/18,499.5,510,510.75,496.75,76.18K,-1.87%
10/23/18,509,508,511.25,505.25,47.85K,0.20%
10/22/18,508,514,514.25,507.25,47.98K,-1.31%
10/19/18,514.75,513,518.5,510.75,45.87K,0.34%
10/18/18,513,516,519.5,511,42.08K,-0.87%
10/17/18,517.5,524,524.5,516,39.43K,-1.15%
10/16/18,523.5,525.75,527,521,50.82K,-0.29%
10/15/18,525,518.5,526,514.75,53.49K,1.50%
10/12/18,517.25,507.75,519,507.25,54.23K,1.82%
10/11/18,508,510.75,521,506.5,71.25K,-0.49%
10/10/18,510.5,516.75,518,510.25,42.67K,-0.87%
10/9/18,515,513.5,520.5,511.25,47.60K,0.19%
10/8/18,514,524,525.5,512.75,54.16K,-1.34%
10/5/18,521,518,524.5,517.25,49.35K,0.58%
10/4/18,518,515.75,520.75,513.75,53.59K,0.53%
10/3/18,515.25,521.25,527.25,514.25,65.96K,-0.77%
10/2/18,519.25,510.5,524.75,505.25,92.44K,1.91%
